,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,Coordinates,Adress
0,164,38.72011,-9.15486,1,"38.72011, -9.15486","Largo do Rato, Avenida Álvares Cabral, Santa Isabel, Campo de Ourique, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1250-015 SANTA ISABEL, Portugal"
1,164,38.72593,-9.14965,2,"38.72593, -9.14965","Ciclovia do Marques de Pombal, Coração de Jesus, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
2,164,38.73024,-9.14703,3,"38.73024, -9.14703","Avenida Fontes Pereira de Melo, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-116, Portugal"
3,164,38.73483,-9.14528,4,"38.73483, -9.14528","Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
4,164,38.74079,-9.14673,5,"38.74079, -9.14673","Campo Pequeno, Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
5,164,38.74698,-9.14823,6,"38.74698, -9.14823","Entrecampos, Ciclovia Avenida da República, Sete Rios, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-421, Portugal"
6,164,38.75144,-9.15915,7,"38.75144, -9.15915","Cidade Universitária, Avenida Professor Gama Pinto, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1649-028, Portugal"
7,164,38.76016,-9.15788,8,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
8,164,38.76745,-9.15549,9,"38.76745, -9.15549","Quinta das Conchas, Rua Luís Pastor de Macedo, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-149, Portugal"
9,164,38.77329,-9.15933,10,"38.77329, -9.15933","Colégio de São João de Brito, 28, Estrada da Torre, Bairro da Cruz Vermelha, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-314, Portugal"
10,164,38.77953,-9.15961,11,"38.77953, -9.15961","Ameixoeira, Azinhaga da Cidade, Charneca, Santa Clara, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-034 AMEIXOEIRA, Portugal"
11,164,38.78576,-9.1719,12,"38.78576, -9.1719","Senhor Roubado, Rua Combatentes 9 de Abril, Olival Basto, Odivelas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2675-533, Portugal"
12,164,38.79344,-9.17343,13,"38.79344, -9.17343","Metro Odivelas, IC 22, Amorosa, Quinta Nova, Odivelas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2675-309, Portugal"
13,165,38.79344,-9.17343,1,"38.79344, -9.17343","Metro Odivelas, IC 22, Amorosa, Quinta Nova, Odivelas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2675-309, Portugal"
14,165,38.78576,-9.1719,2,"38.78576, -9.1719","Senhor Roubado, Rua Combatentes 9 de Abril, Olival Basto, Odivelas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2675-533, Portugal"
15,165,38.77953,-9.15961,3,"38.77953, -9.15961","Ameixoeira, Azinhaga da Cidade, Charneca, Santa Clara, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-034 AMEIXOEIRA, Portugal"
16,165,38.77329,-9.15933,4,"38.77329, -9.15933","Colégio de São João de Brito, 28, Estrada da Torre, Bairro da Cruz Vermelha, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-314, Portugal"
17,165,38.76745,-9.15549,5,"38.76745, -9.15549","Quinta das Conchas, Rua Luís Pastor de Macedo, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-149, Portugal"
18,165,38.76016,-9.15788,6,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
19,165,38.75144,-9.15915,7,"38.75144, -9.15915","Cidade Universitária, Avenida Professor Gama Pinto, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1649-028, Portugal"
20,165,38.74698,-9.14823,8,"38.74698, -9.14823","Entrecampos, Ciclovia Avenida da República, Sete Rios, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-421, Portugal"
21,165,38.74079,-9.14673,9,"38.74079, -9.14673","Campo Pequeno, Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
22,165,38.73483,-9.14528,10,"38.73483, -9.14528","Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
23,165,38.73024,-9.14703,11,"38.73024, -9.14703","Avenida Fontes Pereira de Melo, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-116, Portugal"
24,165,38.72593,-9.14965,12,"38.72593, -9.14965","Ciclovia do Marques de Pombal, Coração de Jesus, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
25,165,38.72011,-9.15486,13,"38.72011, -9.15486","Largo do Rato, Avenida Álvares Cabral, Santa Isabel, Campo de Ourique, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1250-015 SANTA ISABEL, Portugal"
26,166,38.75221,-9.22414,1,"38.75221, -9.22414","Reboleira, Rua das Indústrias, Reboleira, Falagueira-Venda Nova, Amadora, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2720-046, Portugal"
27,166,38.75855,-9.21794,2,"38.75855, -9.21794","Amadora Este, Estrada dos Salgados, Cruzes, Falagueira-Venda Nova, Amadora, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2700-573, Portugal"
28,166,38.76035,-9.20455,3,"38.76035, -9.20455","Alfornelos, Praça Teófilo Braga, Alfornelos, Encosta do Sol, Amadora, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-597 BENFICA, Portugal"
29,166,38.76223,-9.19697,4,"38.76223, -9.19697","Pontinha, Estrada Militar, Carnide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-210, Portugal"
30,166,38.75901,-9.19276,5,"38.75901, -9.19276","Carnide, Avenida Marechal Teixeira Rebelo, Carnide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-450, Portugal"
31,166,38.75372,-9.18987,6,"38.75372, -9.18987","Avenida Lusíada, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-909, Portugal"
32,166,38.74993,-9.18007,7,"38.74993, -9.18007","Museu Nacional da Música, Rua João de Freitas Branco, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-359, Portugal"
33,166,38.74849,-9.17252,8,"38.74849, -9.17252","Ferconsult, Rua Xavier de Araújo, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1600-226, Portugal"
34,166,38.7412,-9.16836,9,"38.7412, -9.16836","Santogal, Rua de Campolide, Campolide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-423, Portugal"
35,166,38.7377,-9.15936,10,"38.7377, -9.15936","Praça de Espanha, Avenida Columbano Bordalo Pinheiro, Campolide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1070-061, Portugal"
36,166,38.734,-9.15365,11,"38.734, -9.15365","São Sebastião, Rua do Marquês de Sá da Bandeira, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-148, Portugal"
37,166,38.72914,-9.15015,12,"38.72914, -9.15015","Miraparque, 12, Avenida Sidónio Pais, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-214, Portugal"
38,166,38.72593,-9.14965,13,"38.72593, -9.14965","Ciclovia do Marques de Pombal, Coração de Jesus, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
39,166,38.71934,-9.14513,14,"38.71934, -9.14513","Monumento aos Mortos da Grande Guerra, Avenida da Liberdade, São José, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1269-038, Portugal"
40,166,38.7161,-9.14239,15,"38.7161, -9.14239","Avenida da Liberdade, São José, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1250-114, Portugal"
41,166,38.71041,-9.14018,16,"38.71041, -9.14018","Fabulas, Rua Ivens, Mártires, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-204, Portugal"
42,166,38.70722,-9.13286,17,"38.70722, -9.13286","São Nicolau, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
43,166,38.71378,-9.12212,18,"38.71378, -9.12212","Santa Apolónia, Avenida Infante Dom Henrique, Santa Engrácia, São Vicente, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-108, Portugal"
44,167,38.71378,-9.12212,1,"38.71378, -9.12212","Santa Apolónia, Avenida Infante Dom Henrique, Santa Engrácia, São Vicente, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-108, Portugal"
45,167,38.70722,-9.13286,2,"38.70722, -9.13286","São Nicolau, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
46,167,38.71041,-9.14018,3,"38.71041, -9.14018","Fabulas, Rua Ivens, Mártires, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-204, Portugal"
47,167,38.7161,-9.14239,4,"38.7161, -9.14239","Avenida da Liberdade, São José, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1250-114, Portugal"
48,167,38.71934,-9.14513,5,"38.71934, -9.14513","Monumento aos Mortos da Grande Guerra, Avenida da Liberdade, São José, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1269-038, Portugal"
49,167,38.72593,-9.14965,6,"38.72593, -9.14965","Ciclovia do Marques de Pombal, Coração de Jesus, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
50,167,38.72914,-9.15015,7,"38.72914, -9.15015","Miraparque, 12, Avenida Sidónio Pais, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-214, Portugal"
51,167,38.734,-9.15365,8,"38.734, -9.15365","São Sebastião, Rua do Marquês de Sá da Bandeira, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-148, Portugal"
52,167,38.7377,-9.15936,9,"38.7377, -9.15936","Praça de Espanha, Avenida Columbano Bordalo Pinheiro, Campolide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1070-061, Portugal"
53,167,38.7412,-9.16836,10,"38.7412, -9.16836","Santogal, Rua de Campolide, Campolide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-423, Portugal"
54,167,38.74849,-9.17252,11,"38.74849, -9.17252","Ferconsult, Rua Xavier de Araújo, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1600-226, Portugal"
55,167,38.74993,-9.18007,12,"38.74993, -9.18007","Museu Nacional da Música, Rua João de Freitas Branco, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-359, Portugal"
56,167,38.75372,-9.18987,13,"38.75372, -9.18987","Avenida Lusíada, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-909, Portugal"
57,167,38.75901,-9.19276,14,"38.75901, -9.19276","Carnide, Avenida Marechal Teixeira Rebelo, Carnide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-450, Portugal"
58,167,38.76223,-9.19697,15,"38.76223, -9.19697","Pontinha, Estrada Militar, Carnide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-210, Portugal"
59,167,38.76035,-9.20455,16,"38.76035, -9.20455","Alfornelos, Praça Teófilo Braga, Alfornelos, Encosta do Sol, Amadora, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-597 BENFICA, Portugal"
60,167,38.75855,-9.21794,17,"38.75855, -9.21794","Amadora Este, Estrada dos Salgados, Cruzes, Falagueira-Venda Nova, Amadora, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2700-573, Portugal"
61,167,38.75221,-9.22414,18,"38.75221, -9.22414","Reboleira, Rua das Indústrias, Reboleira, Falagueira-Venda Nova, Amadora, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2720-046, Portugal"
62,168,38.76017,-9.16609,1,"38.76017, -9.16609","Telheiras, Rua Professor Francisco Gentil, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1600-235 LUMIAR, Portugal"
63,168,38.76016,-9.15788,2,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
64,168,38.75327,-9.1441,3,"38.75327, -9.1441","Millennium bcp, 4 C, Praça de Alvalade, São João de Brito, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-035, Portugal"
65,168,38.74808,-9.1413,4,"38.74808, -9.1413","59, Avenida de Roma, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-342, Portugal"
66,168,38.74228,-9.13349,5,"38.74228, -9.13349","Areeiro, Túnel da Avenida João XXI, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-160, Portugal"
67,168,38.73696,-9.13389,6,"38.73696, -9.13389","Avenida Almirante Reis, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-048 SÃO JORGE DE ARROIOS, Portugal"
68,168,38.73285,-9.1343,7,"38.73285, -9.1343","145, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-015, Portugal"
69,168,38.72703,-9.13488,8,"38.72703, -9.13488","75, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-020, Portugal"
70,168,38.72326,-9.13526,9,"38.72326, -9.13526","Intendente, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-008, Portugal"
71,168,38.71762,-9.1358,10,"38.71762, -9.1358","Correios, 238, Rua da Palma, Socorro, Mouraria, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-394 SANTA JUSTA, Portugal"
72,168,38.71402,-9.13796,11,"38.71402, -9.13796","Rossio, Praça da Figueira, São Cristóvão e São Lourenço, Mouraria, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1110-240, Portugal"
73,168,38.71041,-9.14018,12,"38.71041, -9.14018","Fabulas, Rua Ivens, Mártires, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-204, Portugal"
74,168,38.70611,-9.14612,13,"38.70611, -9.14612","Cais do Sodré, Rua da Cintura do Porto de Lisboa, São Paulo, São Bento, Misericórdia, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-109, Portugal"
75,169,38.70611,-9.14612,1,"38.70611, -9.14612","Cais do Sodré, Rua da Cintura do Porto de Lisboa, São Paulo, São Bento, Misericórdia, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-109, Portugal"
76,169,38.71041,-9.14018,2,"38.71041, -9.14018","Fabulas, Rua Ivens, Mártires, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-204, Portugal"
77,169,38.71402,-9.13796,3,"38.71402, -9.13796","Rossio, Praça da Figueira, São Cristóvão e São Lourenço, Mouraria, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1110-240, Portugal"
78,169,38.71762,-9.1358,4,"38.71762, -9.1358","Correios, 238, Rua da Palma, Socorro, Mouraria, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-394 SANTA JUSTA, Portugal"
79,169,38.72326,-9.13526,5,"38.72326, -9.13526","Intendente, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-008, Portugal"
80,169,38.72703,-9.13488,6,"38.72703, -9.13488","75, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-020, Portugal"
81,169,38.73285,-9.1343,7,"38.73285, -9.1343","145, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-015, Portugal"
82,169,38.73696,-9.13389,8,"38.73696, -9.13389","Avenida Almirante Reis, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-048 SÃO JORGE DE ARROIOS, Portugal"
83,169,38.74228,-9.13349,9,"38.74228, -9.13349","Areeiro, Túnel da Avenida João XXI, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-160, Portugal"
84,169,38.74808,-9.1413,10,"38.74808, -9.1413","59, Avenida de Roma, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-342, Portugal"
85,169,38.75327,-9.1441,11,"38.75327, -9.1441","Millennium bcp, 4 C, Praça de Alvalade, São João de Brito, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-035, Portugal"
86,169,38.76016,-9.15788,12,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
87,169,38.76017,-9.16609,13,"38.76017, -9.16609","Telheiras, Rua Professor Francisco Gentil, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1600-235 LUMIAR, Portugal"
88,170,38.734,-9.15365,1,"38.734, -9.15365","São Sebastião, Rua do Marquês de Sá da Bandeira, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-148, Portugal"
89,170,38.73483,-9.14528,2,"38.73483, -9.14528","Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
