,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,Coordinates,Adress
90,170,38.73696,-9.13389,3,"38.73696, -9.13389","Avenida Almirante Reis, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-048 SÃO JORGE DE ARROIOS, Portugal"
91,170,38.74019,-9.12297,4,"38.74019, -9.12297","Clube de Rugby do Técnico, Rua de Olivença, Olaias, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1900-064, Portugal"
92,170,38.7476,-9.11772,5,"38.7476, -9.11772","Bela Vista, Avenida da Ucrânia, Chelas, Marvila, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1950-340, Portugal"
93,170,38.75475,-9.11404,6,"38.75475, -9.11404","Avenida Doutor Augusto de Castro, Bairro das Amendoeiras, Marvila, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1950-002, Portugal"
94,170,38.76084,-9.11185,7,"38.76084, -9.11185","Rua Cidade de Bissau, Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1800-088, Portugal"
95,170,38.76294,-9.10518,8,"38.76294, -9.10518","LSB-00148, 9, Avenida de Pádua, Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1800, Portugal"
96,170,38.76786,-9.09973,9,"38.76786, -9.09973","Estação do Oriente, Avenida de Berlim, Parque das Nações, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1800-038, Portugal"
97,170,38.77496,-9.10304,10,"38.77496, -9.10304","Parque das Nações, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1885-031, Portugal"
98,170,38.77499,-9.11538,11,"38.77499, -9.11538","Encarnação, Rua General Silva Freire, Olivais Norte, Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1849-028, Portugal"
99,170,38.76862,-9.12833,12,"38.76862, -9.12833","Aeroporto, Access to Metro 'Aeroporto', Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-008, Portugal"
100,171,38.76862,-9.12833,1,"38.76862, -9.12833","Aeroporto, Access to Metro 'Aeroporto', Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-008, Portugal"
101,171,38.77499,-9.11538,2,"38.77499, -9.11538","Encarnação, Rua General Silva Freire, Olivais Norte, Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1849-028, Portugal"
102,171,38.77496,-9.10304,3,"38.77496, -9.10304","Parque das Nações, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1885-031, Portugal"
103,171,38.76786,-9.09973,4,"38.76786, -9.09973","Estação do Oriente, Avenida de Berlim, Parque das Nações, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1800-038, Portugal"
104,171,38.76294,-9.10518,5,"38.76294, -9.10518","LSB-00148, 9, Avenida de Pádua, Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1800, Portugal"
105,171,38.76084,-9.11185,6,"38.76084, -9.11185","Rua Cidade de Bissau, Olivais, Santa Maria de Olivais, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1800-088, Portugal"
106,171,38.75475,-9.11404,7,"38.75475, -9.11404","Avenida Doutor Augusto de Castro, Bairro das Amendoeiras, Marvila, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1950-002, Portugal"
107,171,38.7476,-9.11772,8,"38.7476, -9.11772","Bela Vista, Avenida da Ucrânia, Chelas, Marvila, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1950-340, Portugal"
108,171,38.74019,-9.12297,9,"38.74019, -9.12297","Clube de Rugby do Técnico, Rua de Olivença, Olaias, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1900-064, Portugal"
109,171,38.73696,-9.13389,10,"38.73696, -9.13389","Avenida Almirante Reis, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-048 SÃO JORGE DE ARROIOS, Portugal"
110,171,38.73483,-9.14528,11,"38.73483, -9.14528","Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
111,171,38.734,-9.15365,12,"38.734, -9.15365","São Sebastião, Rua do Marquês de Sá da Bandeira, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-148, Portugal"
112,4919,38.76223,-9.19697,1,"38.76223, -9.19697","Pontinha, Estrada Militar, Carnide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-210, Portugal"
113,4919,38.75901,-9.19276,2,"38.75901, -9.19276","Carnide, Avenida Marechal Teixeira Rebelo, Carnide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-450, Portugal"
114,4919,38.75372,-9.18987,3,"38.75372, -9.18987","Avenida Lusíada, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-909, Portugal"
115,4919,38.74993,-9.18007,4,"38.74993, -9.18007","Museu Nacional da Música, Rua João de Freitas Branco, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-359, Portugal"
116,4919,38.74849,-9.17252,5,"38.74849, -9.17252","Ferconsult, Rua Xavier de Araújo, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1600-226, Portugal"
117,4919,38.7412,-9.16836,6,"38.7412, -9.16836","Santogal, Rua de Campolide, Campolide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-423, Portugal"
118,4919,38.7377,-9.15936,7,"38.7377, -9.15936","Praça de Espanha, Avenida Columbano Bordalo Pinheiro, Campolide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1070-061, Portugal"
119,4919,38.734,-9.15365,8,"38.734, -9.15365","São Sebastião, Rua do Marquês de Sá da Bandeira, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-148, Portugal"
120,4919,38.72914,-9.15015,9,"38.72914, -9.15015","Miraparque, 12, Avenida Sidónio Pais, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-214, Portugal"
121,4919,38.72593,-9.14965,10,"38.72593, -9.14965","Ciclovia do Marques de Pombal, Coração de Jesus, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
122,4919,38.71934,-9.14513,11,"38.71934, -9.14513","Monumento aos Mortos da Grande Guerra, Avenida da Liberdade, São José, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1269-038, Portugal"
123,4919,38.7161,-9.14239,12,"38.7161, -9.14239","Avenida da Liberdade, São José, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1250-114, Portugal"
124,4919,38.71041,-9.14018,13,"38.71041, -9.14018","Fabulas, Rua Ivens, Mártires, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-204, Portugal"
125,4919,38.70722,-9.13286,14,"38.70722, -9.13286","São Nicolau, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
126,4919,38.71378,-9.12212,15,"38.71378, -9.12212","Santa Apolónia, Avenida Infante Dom Henrique, Santa Engrácia, São Vicente, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-108, Portugal"
127,4920,38.71378,-9.12212,1,"38.71378, -9.12212","Santa Apolónia, Avenida Infante Dom Henrique, Santa Engrácia, São Vicente, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-108, Portugal"
128,4920,38.70722,-9.13286,2,"38.70722, -9.13286","São Nicolau, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
129,4920,38.71041,-9.14018,3,"38.71041, -9.14018","Fabulas, Rua Ivens, Mártires, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-204, Portugal"
130,4920,38.7161,-9.14239,4,"38.7161, -9.14239","Avenida da Liberdade, São José, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1250-114, Portugal"
131,4920,38.71934,-9.14513,5,"38.71934, -9.14513","Monumento aos Mortos da Grande Guerra, Avenida da Liberdade, São José, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1269-038, Portugal"
132,4920,38.72593,-9.14965,6,"38.72593, -9.14965","Ciclovia do Marques de Pombal, Coração de Jesus, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
133,4920,38.72914,-9.15015,7,"38.72914, -9.15015","Miraparque, 12, Avenida Sidónio Pais, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-214, Portugal"
134,4920,38.734,-9.15365,8,"38.734, -9.15365","São Sebastião, Rua do Marquês de Sá da Bandeira, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-148, Portugal"
135,4920,38.7377,-9.15936,9,"38.7377, -9.15936","Praça de Espanha, Avenida Columbano Bordalo Pinheiro, Campolide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1070-061, Portugal"
136,4920,38.7412,-9.16836,10,"38.7412, -9.16836","Santogal, Rua de Campolide, Campolide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-423, Portugal"
137,4920,38.74849,-9.17252,11,"38.74849, -9.17252","Ferconsult, Rua Xavier de Araújo, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1600-226, Portugal"
138,4920,38.74993,-9.18007,12,"38.74993, -9.18007","Museu Nacional da Música, Rua João de Freitas Branco, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-359, Portugal"
139,4920,38.75372,-9.18987,13,"38.75372, -9.18987","Avenida Lusíada, São Domingos de Benfica, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-909, Portugal"
140,4920,38.75901,-9.19276,14,"38.75901, -9.19276","Carnide, Avenida Marechal Teixeira Rebelo, Carnide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-450, Portugal"
141,4920,38.76223,-9.19697,15,"38.76223, -9.19697","Pontinha, Estrada Militar, Carnide, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1500-210, Portugal"
142,4921,38.72011,-9.15486,1,"38.72011, -9.15486","Largo do Rato, Avenida Álvares Cabral, Santa Isabel, Campo de Ourique, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1250-015 SANTA ISABEL, Portugal"
143,4921,38.72593,-9.14965,2,"38.72593, -9.14965","Ciclovia do Marques de Pombal, Coração de Jesus, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
144,4921,38.73024,-9.14703,3,"38.73024, -9.14703","Avenida Fontes Pereira de Melo, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-116, Portugal"
145,4921,38.73483,-9.14528,4,"38.73483, -9.14528","Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
146,4921,38.74079,-9.14673,5,"38.74079, -9.14673","Campo Pequeno, Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
147,4921,38.74698,-9.14823,6,"38.74698, -9.14823","Entrecampos, Ciclovia Avenida da República, Sete Rios, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-421, Portugal"
148,4921,38.75144,-9.15915,7,"38.75144, -9.15915","Cidade Universitária, Avenida Professor Gama Pinto, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1649-028, Portugal"
149,4921,38.76016,-9.15788,8,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
150,4922,38.76016,-9.15788,1,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
151,4922,38.75144,-9.15915,2,"38.75144, -9.15915","Cidade Universitária, Avenida Professor Gama Pinto, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1649-028, Portugal"
152,4922,38.74698,-9.14823,3,"38.74698, -9.14823","Entrecampos, Ciclovia Avenida da República, Sete Rios, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-421, Portugal"
153,4922,38.74079,-9.14673,4,"38.74079, -9.14673","Campo Pequeno, Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
154,4922,38.73483,-9.14528,5,"38.73483, -9.14528","Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
155,4922,38.73024,-9.14703,6,"38.73024, -9.14703","Avenida Fontes Pereira de Melo, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-116, Portugal"
156,4922,38.72593,-9.14965,7,"38.72593, -9.14965","Ciclovia do Marques de Pombal, Coração de Jesus, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
157,4922,38.72011,-9.15486,8,"38.72011, -9.15486","Largo do Rato, Avenida Álvares Cabral, Santa Isabel, Campo de Ourique, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1250-015 SANTA ISABEL, Portugal"
158,50953,38.76017,-9.16609,1,"38.76017, -9.16609","Telheiras, Rua Professor Francisco Gentil, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1600-235 LUMIAR, Portugal"
159,50953,38.76016,-9.15788,2,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
160,50953,38.75327,-9.1441,3,"38.75327, -9.1441","Millennium bcp, 4 C, Praça de Alvalade, São João de Brito, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-035, Portugal"
161,50953,38.74808,-9.1413,4,"38.74808, -9.1413","59, Avenida de Roma, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-342, Portugal"
162,50953,38.74228,-9.13349,5,"38.74228, -9.13349","Areeiro, Túnel da Avenida João XXI, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-160, Portugal"
163,50953,38.73696,-9.13389,6,"38.73696, -9.13389","Avenida Almirante Reis, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-048 SÃO JORGE DE ARROIOS, Portugal"
164,50953,38.72703,-9.13488,7,"38.72703, -9.13488","75, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-020, Portugal"
165,50953,38.72326,-9.13526,8,"38.72326, -9.13526","Intendente, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-008, Portugal"
166,50953,38.71762,-9.1358,9,"38.71762, -9.1358","Correios, 238, Rua da Palma, Socorro, Mouraria, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-394 SANTA JUSTA, Portugal"
167,50953,38.71402,-9.13796,10,"38.71402, -9.13796","Rossio, Praça da Figueira, São Cristóvão e São Lourenço, Mouraria, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1110-240, Portugal"
168,50953,38.71041,-9.14018,11,"38.71041, -9.14018","Fabulas, Rua Ivens, Mártires, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-204, Portugal"
169,50953,38.70611,-9.14612,12,"38.70611, -9.14612","Cais do Sodré, Rua da Cintura do Porto de Lisboa, São Paulo, São Bento, Misericórdia, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-109, Portugal"
170,50954,38.70611,-9.14612,1,"38.70611, -9.14612","Cais do Sodré, Rua da Cintura do Porto de Lisboa, São Paulo, São Bento, Misericórdia, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-109, Portugal"
171,50954,38.71041,-9.14018,2,"38.71041, -9.14018","Fabulas, Rua Ivens, Mártires, Chiado, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1200-204, Portugal"
172,50954,38.71402,-9.13796,3,"38.71402, -9.13796","Rossio, Praça da Figueira, São Cristóvão e São Lourenço, Mouraria, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1110-240, Portugal"
173,50954,38.71762,-9.1358,4,"38.71762, -9.1358","Correios, 238, Rua da Palma, Socorro, Mouraria, Santa Maria Maior, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-394 SANTA JUSTA, Portugal"
174,50954,38.72326,-9.13526,5,"38.72326, -9.13526","Intendente, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-008, Portugal"
175,50954,38.72703,-9.13488,6,"38.72703, -9.13488","75, Avenida Almirante Reis, Anjos, Arroios, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1150-020, Portugal"
176,50954,38.73696,-9.13389,7,"38.73696, -9.13389","Avenida Almirante Reis, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-048 SÃO JORGE DE ARROIOS, Portugal"
177,50954,38.74228,-9.13349,8,"38.74228, -9.13349","Areeiro, Túnel da Avenida João XXI, Areeiro, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1000-160, Portugal"
178,50954,38.74808,-9.1413,9,"38.74808, -9.1413","59, Avenida de Roma, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-342, Portugal"
179,50954,38.75327,-9.1441,10,"38.75327, -9.1441","Millennium bcp, 4 C, Praça de Alvalade, São João de Brito, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-035, Portugal"
180,50954,38.76016,-9.15788,11,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
181,50954,38.76017,-9.16609,12,"38.76017, -9.16609","Telheiras, Rua Professor Francisco Gentil, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1600-235 LUMIAR, Portugal"
